geo_name,geo_sumlevel,geo_id,adult_obesity_2015,adult_obesity_2016,adult_obesity_2017
"Carroll County, IL","county",05000US17015,0.307,0.316,0.286
"Cass County, IL","county",05000US17017,0.285,0.288,0.28
"Champaign County, IL","county",05000US17019,0.27,0.266,0.251
"Christian County, IL","county",05000US17021,0.327,0.334,0.317
"Clark County, IL","county",05000US17023,0.321,0.331,0.327
"Clay County, IL","county",05000US17025,0.314,0.315,0.31
"Clinton County, IL","county",05000US17027,0.278,0.278,0.295
"Coles County, IL","county",05000US17029,0.282,0.277,0.263
"Cook County, IL","county",05000US17031,0.252,0.249,0.253
"Crawford County, IL","county",05000US17033,0.328,0.339,0.313
"Cumberland County, IL","county",05000US17035,0.295,0.296,0.278
"DeKalb County, IL","county",05000US17037,0.289,0.274,0.283
"De Witt County, IL","county",05000US17039,0.334,0.32,0.305
"Douglas County, IL","county",05000US17041,0.304,0.308,0.305
"DuPage County, IL","county",05000US17043,0.243,0.239,0.23
"Edgar County, IL","county",05000US17045,0.327,0.326,0.303
"Edwards County, IL","county",05000US17047,0.3,0.318,0.313
"Effingham County, IL","county",05000US17049,0.29,0.293,0.318
"Fayette County, IL","county",05000US17051,0.37,0.371,0.33
"Ford County, IL","county",05000US17053,0.31,0.296,0.282
"Franklin County, IL","county",05000US17055,0.306,0.305,0.302
"Fulton County, IL","county",05000US17057,0.329,0.324,0.307
"Gallatin County, IL","county",05000US17059,0.306,0.31,0.284
"Greene County, IL","county",05000US17061,0.278,0.297,0.287
"Grundy County, IL","county",05000US17063,0.315,0.314,0.304
"Hamilton County, IL","county",05000US17065,0.289,0.293,0.282
"Hancock County, IL","county",05000US17067,0.301,0.291,0.286
"Hardin County, IL","county",05000US17069,0.335,0.327,0.306
"Henderson County, IL","county",05000US17071,0.329,0.324,0.304
"Henry County, IL","county",05000US17073,0.296,0.307,0.305
"Iroquois County, IL","county",05000US17075,0.32,0.326,0.339
"Jackson County, IL","county",05000US17077,0.316,0.312,0.315
"Jasper County, IL","county",05000US17079,0.311,0.31,0.302
"Jefferson County, IL","county",05000US17081,0.351,0.333,0.302
"Jersey County, IL","county",05000US17083,0.321,0.317,0.33
"Jo Daviess County, IL","county",05000US17085,0.287,0.291,0.295
"Johnson County, IL","county",05000US17087,0.294,0.306,0.294
"Kane County, IL","county",05000US17089,0.272,0.257,0.253
"Kankakee County, IL","county",05000US17091,0.309,0.338,0.301
"Kendall County, IL","county",05000US17093,0.312,0.354,0.337
"Knox County, IL","county",05000US17095,0.289,0.252,0.262
"Lake County, IL","county",05000US17097,0.256,0.291,0.284
"LaSalle County, IL","county",05000US17099,0.298,0.285,0.271
"Lawrence County, IL","county",05000US17101,0.321,0.32,0.289
"Lee County, IL","county",05000US17103,0.294,0.329,0.326
"Livingston County, IL","county",05000US17105,0.317,0.314,0.292
"Logan County, IL","county",05000US17107,0.315,0.309,0.292
"McDonough County, IL","county",05000US17109,0.285,0.291,0.268
"McHenry County, IL","county",05000US17111,0.277,0.279,0.277
"McLean County, IL","county",05000US17113,0.308,0.29,0.293
"Macon County, IL","county",05000US17115,0.33,0.306,0.297
"Macoupin County, IL","county",05000US17117,0.33,0.331,0.31
"Madison County, IL","county",05000US17119,0.316,0.329,0.323
"Marion County, IL","county",05000US17121,0.359,0.359,0.335
"Marshall County, IL","county",05000US17123,0.308,0.323,0.291
"Mason County, IL","county",05000US17125,0.315,0.331,0.317
"Massac County, IL","county",05000US17127,0.345,0.343,0.307
"Menard County, IL","county",05000US17129,0.312,0.309,0.283
"Mercer County, IL","county",05000US17131,0.299,0.307,0.312
"Monroe County, IL","county",05000US17133,0.316,0.329,0.332
"Montgomery County, IL","county",05000US17135,0.27,0.29,0.313
"Morgan County, IL","county",05000US17137,0.311,0.312,0.288
"Moultrie County, IL","county",05000US17139,0.311,0.307,0.286
"Ogle County, IL","county",05000US17141,0.294,0.286,0.312
"Peoria County, IL","county",05000US17143,0.283,0.286,0.288
"Perry County, IL","county",05000US17145,0.286,0.304,0.291
"Piatt County, IL","county",05000US17147,0.315,0.304,0.29
"Pike County, IL","county",05000US17149,0.312,0.322,0.326
"Pope County, IL","county",05000US17151,0.304,0.308,0.295
"Pulaski County, IL","county",05000US17153,0.33,0.321,0.273
